"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C7","2","79uf","","","","Library:CAP_25SVPD82M","~"
"C2","1","132uf","","","","Library:CAP_0020F12_VIS","~"
"C3,C9","2","212uf","","","","Library:A700W227M002ATE006","~"
"C4,C10","2","353uf","","","","Library:EGXF101ELL681MM35S","~"
"C5,C11","2","530uf","","","","Library:CAPPRD500W60D1000H3150","~"
"C6,C12","2","636uf","","","","Library:RS80J681MCN1","~"
"C8","1","132uf","","","","Library:CAP_25SVPD82M","~"
"D1","1","BRIDGE","","","","Library:REC-KMB14F","https://www.vishay.com/docs/88769/woo5g.pdf"
"D2,D3","2","LED","","","","Library:LED-HSMG-A100-K42J2","~"
"J1","1","240V AC","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"J2,J3","2","Conn_01x02_Pin","","","","Connector:JWT_A3963_1x02_P3.96mm_Vertical","~"
"R1,R2","2","100E","","","","Library:RES-AC03000001000JAC00","~"
"TR1","1","40V AC","","","","Library:TR-XFMR_F28-085-C2","http://www.breve.pl/pdf/ANG/TEZ_ang.pdf"
"U1","1","7824","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U2","1","7815","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U3","1","7809","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U4","1","7806","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U5","1","7805","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U6","1","7924","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U7","1","7915","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U8","1","7909","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U9","1","7906","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
"U10","1","7905","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.ti.com/lit/ds/symlink/lm2931-n.pdf"
